title,published,isbn,author
Four Bath Buns,2013,1903056365,Amanda Overeynder
From Bath with love : an evocative view of Bath and the surrounding area,1995,952185024,Bob Croxford
Tim Mowl's garden walks near Bath,1999,948975547,Tim Mowl
The vault,1999,316646466,Peter Lovesey
"Bath at war, 1939-1945",1999,750919957,David Falconer
Bath administer'd : corporation affairs at the 18th-century spa,2001,952632624,Trevor Fawcett
Pleasures and people of Bath,1977,718115880,Kenneth Hudson
Rainstone fall,2008,1845296494,Peter Helton
Bath from Roman times,1977,851221327,Althea
Bath : history and guide,1994,750904259,Trevor Fawcett
Bath,2012,1904955932,John Payne
Fearful symmetry,2001,753163934,Morag Joss
The Bath tramways,1992,853613923,Colin Gordon Maggs
Bath tangle,2004,99468093,Georgette Heyer
Fearful symmetry,2001,753163926,Morag Joss
Medieval Bath uncovered,2002,075241965X,Peter Davenport
Absolute honour,2007,753177978,C. C. Humphreys
Bath : an architectural guide,1975,571108059,Charles Robertson
Discovering Bath,1999,199189951,Sue Thomas
"Indexes of the 1841 census records of Somerset. Volume 36, Bath",2006,1905639104,Judy Hodges
The naked guide to Bath,2004,954417704,Gideon Kibblewhite
Hidden paths & secret gates : six all-day walks around Bath,1996,948975415,Kirsten Elliott
Belinda goes to Bath,2011,1445837943,M. C. Beaton
Tudor Bath : life and strife in the 'little city' 1485-1603,2006,952024977,John Wroughton
Haunted Bath,2009,752447599,David Brandon
A history of Bath : image and reality,2006,1859361129,Graham Davis
Historic Bath,1987,071170290X,Diana Winsor
Nelson and Bath,2004,953720039,Louis Hodgkin
The bombing of Bath : the German air raids of April 1942,1983,906798302,Niall Rothnie
Bristol & Bath unlocked,2010,956414834,Emily Kerr
Nineteenth century Bath : architects & architecture,1991,1853980161,N. Jackson
The Royal Crescent book of Bath,1998,1855854988,James Crathorne
The killing of Cinderella : a Bath detective mystery,1999,752827243,Christopher Lee
Bath,2010,1849930007,Jane Walker
The city of Bath : a pocket souvenir,2005,954340981,Bob Croxford
Rural rambles near Bristol and Bath,2004,1853068519,Connie Smith
Absolute honour,2006,752871919,C. C. Humphreys
Discovering Bath,1995,199166994,Sue Thomas
The sack of Bath : a record and an indictment,1973,859550028,Adam Fergusson
Bath - more than a guide,2004,711726450,Annie Bullen
Bath as spa and Bath as slum : the social history of a Victorian city,2009,773437886,Graham Davis
Roman Bath discovered,2000,752419021,Barry W. Cunliffe
Vanishing Bath,1970,901571407,Peter Coard
Bath water : the effect of the waters on the history of Bath and of medicine,1979,903044099,George D. Kersley
Bath : city on show,2010,752456741,Cathryn Spence
Bath water : the effect of the waters on the history of Bath and of medicine,1973,903044099,George Durant Kersley
Turkey tracks,1995,94737703,Lizbie Brown
The new Bath guide,1982,907142095,Eva Jolly
Crow stone,2007,1847820468,Jenni Mills
"The family guide to Bath : souvenir poster, free postcards and 4 city walks with maps",1993,853726124,Rosemary Phipps
Hot springs of Bath : investigations of the thermal waters of the Avon Valley,1991,901303259,G. A. Kellaway
Belinda goes to Bath,2011,1849014809,M. C. Beaton
"Bath 1680-1850 : a social history, or, a valley of pleasure, yet a sink of iniquity",1981,071000639X,R. S. Neale
The lost pubs of Bath,2005,954613848,Andrew Swift
Exploring Bath,1984,1850260028,Keith Dallimore
Georgian Bath,2012,1445609592,Pat Dargan
"Bath entertain'd : amusements, recreations and gambling at the 18th-century spa",1998,952632616,Trevor Fawcett
The little book of Bath,2003,711724334,Gill Knappett
Roman Bath,1969,854310002,Barry W. Cunliffe
Bath,2003,300101775,Michael Forsyth
Bath: walks within the walls : a study of Bath as a built-form taken over by other uses,1971,239001044,Peter Smithson
Bath and the eighteenth century novel,1989,861970721,Mary K. Hill
A walk along the canal in Bath,1976,090157175X,Valerie Edna Bowyer
The killing of Sally Keemer,1997,575063467,Christopher Lee
"Tales from the pump room : nine hundred years of Bath : the place, its people and its gossip",1988,575039655,Thomas Hinde
"Yesterday in Bath : a camera record, 1849-1949",1972,273318543,Adrian Ball
Kingswood School in Wesley's day and since,1970,716201631,Arthur Glendinning Ives
In the footsteps of Jane Austen through Bath to Lyncombe and Widcombe : a walk through history,2003,952821060,Janet Aylmer
The Penningtons,2010,727869884,Pamela Oldfield
